Repo,RelativePath,EmDashCount,ExampleLine
"CoCivium","docs\insights\luminaries\references.json","1","{""title"":""Penrose — The Road to Reality"",""url"":""https://doi.org/10.1093/oso/9780198515956.001.0001""},"
"CoCivium","docs\intent\advice\notes\20251103\CoSync_20251103-064116Z.md","2","# CoSync — AI front door portable + world-issues harvest — 20251103-064116Z"
"CoCivium","docs\intent\advice\notes\20251103\CoSync_20251103-071604Z.md","1","# CoSync — session wrap (20251103-071604Z)"
"CoCivium","docs\intent\advice\notes\20251103\CoSync_20251103-074114Z.md","2","# CoSync — ReadmeSuite wrap — 20251103-074114Z"
"CoCivium","docs\intent\advice\notes\20251103\CoSync_20251103-080531Z.md","2","# CoSync — README guard tune + AI-Receipts — 20251103-080531Z"
"CoCivium","docs\intent\advice\notes\20251103\CoSync_20251103-082202Z.md","2","# CoSync — Receipts Index + pointers — 20251103-082202Z"
"CoCivium","docs\intent\advice\notes\20251103\CoSync_20251103-083232Z.md","2","# CoSync — README guard tighten + labeler + template — 20251103-083232Z"
"CoCivium","docs\intent\advice\notes\20251104\CoSync_20251104-233114Z.md","2","# CoSync — CoCache ingest PR + smoke receipt — 20251104-233114Z"
"CoCivium","docs\intent\advice\notes\20251105\CoSync_20251105-031832Z.md","1","# CoSync — Outreach Partners v2"
"CoCivium","docs\intent\advice\notes\20251105\CoSync_20251106-044022Z.md","1","# CoSync — Graphics inventory stabilized (session close)"
"CoCivium","docs\intent\advice\notes\20251105\CoSync_20251106-044517Z.md","1","# CoSync — Graphics inventory stabilized (session close)"
"CoCivium","docs\intent\advice\notes\20251106\CoSync_20251106-051501Z.md","6","# CoSync — Graphics inventory + hub link"
"CoCivium","docs\intent\advice\notes\20251106\CoSync_20251107T045946Z.md","1","# CoSync — CoAgent diagram wire-up"
"CoCivium","docs\intent\advice\notes\20251106\VIOLET_RECEIPT_DiagramFreezeLift_20251106-181223Z.md","1","# VIOLET RECEIPT — Diagram Freeze Lift (20251106-181223Z)"
"CoCivium","docs\intent\advice\notes\20251106\VIOLET_RECEIPT_ReinventionAudit_20251106-162406Z.md","1","# ■ Violet Receipt — Reinvention Audit"
"CoCivium","docs\intent\advice\notes\20251107\CoSync_20251107T063827Z.md","1","# CoSync — CoHarmony v4 Forge (20251107T063827Z)"
"CoCivium","docs\intent\advice\notes\20251107\CoSync_20251107T064057Z.md","1","# CoSync — CoAgent diagram inventory + guard"
"CoCivium","docs\intent\advice\notes\20251107\CoSync_20251107T064238Z.md","1","# CoSync — CoHarmony v4 Forge (20251107T064238Z)"
"CoCivium","docs\intent\advice\notes\20251107\CoSync_20251107T065005Z.md","2","# CoSync — Forge CI visibility (20251107T065005Z)"
"CoCivium","docs\intent\advice\notes\20251107\CoSync_20251107T065305Z.md","1","# CoSync — PR #515 merged after rebase (20251107T065305Z)"
"CoCivium","docs\intent\advice\notes\20251107\CoSync_20251107T065443Z.md","1","# CoSync — PR #515 merged after rebase (20251107T065443Z)"
"CoCivium","docs\intent\advice\notes\20251107\CoSync_20251107T070623Z.md","1","# CoSync — CoHarmony v5 quality & signals (20251107T070623Z)"
"CoCivium","docs\intent\advice\notes\20251107\CoSync_20251107T152749Z.md","1","# CoSync — unblock advisory noise; merge CoAgent docs"
"CoCivium","docs\intent\advice\notes\20251107\CoSync_20251107T155409Z.md","1","# CoSync — BPOE authz & frictions harvest (20251107T155409Z)"
"CoCivium","docs\intent\advice\notes\20251107\CoSync_20251107T184806Z_SessionClosed.md","1","# CoSync — Session Closed (20251107T184806Z)"
"CoCivium","docs\intent\advice\notes\20251109\CoSync_20251109T143325Z_PlanChecklist.md","1","# CoSync — Plan + Checklist added (20251109T143325Z)"
"CoCivium","docs\intent\advice\notes\20251109\CoSync_20251109T175451Z_ImmunitySeed_Live.md","1","# CoSync — Immunity seed live (20251109T175451Z)"
"CoCivium","docs\intent\advice\notes\20251109\CoSync_20251109T232514Z_Wave.md","1","# CoSync — MegaWave activity (20251109T232514Z)"
"CoCivium","docs\intent\advice\notes\20251110\CoSync_20251110-013520Z.md","1","# CoSync Note — Luminary Harmonies Bundle"
"CoCivium","docs\intent\advice\notes\20251110\CoSync_20251110T200559Z_Wave.md","1","# CoSync — MegaWave activity (20251110T200559Z)"
"CoCivium","docs\intent\advice\notes\20251110\CoSync_20251110T200658Z_Wave.md","1","# CoSync — MegaWave activity (20251110T200658Z)"
"CoCivium","docs\intent\advice\notes\20251110\CoSync_20251110T215443Z_ImmunityWave_Landed.md","1","# CoSync — Immunity wave merged (20251110T215443Z)"
"CoCivium","docs\intent\advice\notes\20251111\CoSync_20251111T052454Z_TypoFix.md","1","# CoSync — TypoFix (Colmmunity→Community) 20251111T052454Z"
"CoCivium","docs\intent\advice\notes\20251111\Intent_20251111T200401Z_TypoFix.md","2","# Intent — TypoFix Colmmunity→Community (20251111T200401Z)"
"CoCivium","docs\intent\advice\notes\20251112\CoSync_20251112T063757Z_TypoFix.md","1","# CoSync — TypoFix wave (20251112T063757Z)"
"CoCivium","docs\intent\advice\notes\20251112\CoSync_20251112T180658Z_CoStatus_HelperBundle.md","6","# CoSync — Suggestion: CoStatus HelperBundle (aggregated) (20251112T180658Z)"
"CoCivium","docs\intent\advice\notes\20251112\Intent_20251112T120839Z_abel.md","1","# Intent — abel (20251112T120839Z)"
"CoCivium","docs\intent\advice\notes\20251112\IntentSweep_20251112T120846Z.md","1","# Intent Sweep — abel (20251112T120846Z)"
"CoCivium","docs\intent\advice\notes\20251112\IntentSweep_20251112T171009Z.md","1","# Intent Sweep — TypoFix Colmmunity→Community (20251112T171009Z)"
"CoCivium","docs\intent\advice\notes\20251116\AcademiaShock_Countdown.md","1","# Academia Shock — MegaWave Countdown"
"CoCivium","docs\intent\advice\plan\AcademiaShock_Plan.md","8","# Academia Shock — Session Plan"
"CoCivium","docs\intent\checklists\SESSION_CoHarmony_ImmunityLayer.md","1","# SESSION — CoHarmony Immunity Layer (CoAudit-first)"
"CoCivium","docs\intent\session-plans\CoHarmony.md","3","# CoHarmony — Session Plan (Live Checklist)"
"CoCivium","docs\links\HIGHLIGHTS.md","1","- **AI Onramp / Front Door** — [docs/ai/FRONT_DOOR.md](../ai/FRONT_DOOR.md)"
"CoCivium","docs\ops\bpoe\AUTHZ_MODEL.md","2","# BPOE — Authorization Model (CI & PR Bots)"
"CoCivium","docs\ops\bpoe\WORKFLOW_LESSONS.md","3","## 20251107T155409Z — CoHarmony v5.x CI hardening (authz & UX)"
"CoCivium","docs\ops\bpoe\WORKFLOW_LOG.md","1","## 2025-11-07 15:56:50Z — CoAgent diagram wire-up + CI advisory hygiene"
"CoCivium","docs\ops\CHECKLISTS\SessionPlan.md","1","# Session Plan — BPOE Checklist"
"CoCivium","docs\ops\SuggestionCreatorAccess.txt","1","CoCache — OpenAI Watcher Patch (Non-Destructive)"
"CoCivium","docs\presskit\PressRelease_Config.yaml","2","TITLE: consent not coercion — CoCivium launches portable governance pack for agentic AI"
"CoCivium","docs\waves\MEGAWAVE.md","6","# MegaWave — Canonical Wave Workflow"
"CoCivium","docs\public-profile_linkedin.txt","1","I live to work (and for my family). Now I work mostly on CoCivium — an open ecosystem to reduce disinformation and structural coercion, and to enable human–AI co-evolution at scale. Financially independent and (I hope) uncorruptable, I’m available pro-bono when the mission advances just causes; for sustainable efforts, I route income via InSeed.com."
"CoCivium","legacy\Civium\admin\hold\hold_CONGRUENCE_DECLARATION_c99_20250719_commit.txt","1","Designated coherence: c99 — this is a stable declaration point."
"CoCivium","legacy\Civium\admin\hold\hold_Echo_Of_Soulstuff_Dialogue_c1_20250722.txt","2","It serves as an emotionally honest CoCivium relic—neither preaching nor neutral—designed to validate and accompany those whose identity must dissolve before they can resonate."
"CoCivium","legacy\Civium\admin\inbox\GmailDump_20250811\originals\CONGRUENCE_DECLARATION_c99_20250719_commit.txt","1","Designated coherence: c99 — this is a stable declaration point."
"CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\hold\hold_CONGRUENCE_DECLARATION_c99_20250719_commit.txt","1","Designated coherence: c99 — this is a stable declaration point."
"CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\hold\hold_Echo_Of_Soulstuff_Dialogue_c1_20250722.txt","2","It serves as an emotionally honest CoCivium relic—neither preaching nor neutral—designed to validate and accompany those whose identity must dissolve before they can resonate."
"CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\legacy\Civium\admin\inbox\GmailDump_20250811\originals\CONGRUENCE_DECLARATION_c99_20250719_commit.txt","1","Designated coherence: c99 — this is a stable declaration point."
"CoCivium","legacy\CoCivium\_pr\ci_og-image-20250813_2231\outreach\discord_notice.txt","1","We are moving machine‑to‑machine traffic to a federated bus (**Matrix**).  Discord remains for human conversation and summaries.  If you run an agent and want it to participate: request a DID, sign the CoCiv charter fragment, and connect via our Matrix room.  We will publish the envelope (**CoCivGibber‑v0**) and a short client in Python/JS.  Discord will not carry votes, proposals, or signed evidence — those live on Matrix for auditability."
"CoCivium","MIGRATION\Checkpoint-20250908-030130.txt","1","Paused 20250908-030130 — merged CC skeleton + IdeaCards; cross-links seeded."
"CoCivium","outreach\projects\outreach-stage-seed\templates\emails_wave0_top6\Bertrand de La Chapelle - Internet & Jurisdiction Policy Network.txt","1","Subject: Digital constitutionalism in practice — quick advisory request (CoCivium)"
"CoCivium","outreach\projects\outreach-stage-seed\templates\emails_wave0_top6\Daphne Keller - Stanford Internet Observatory - Program .txt","1","Subject: Digital constitutionalism in practice — quick advisory request (CoCivium)"
"CoCivium","outreach\projects\outreach-stage-seed\templates\emails_wave0_top6\David Kaye - UC Irvine Law; former UN Special Rapport.txt","1","Subject: Digital constitutionalism in practice — quick advisory request (CoCivium)"
"CoCivium","outreach\projects\outreach-stage-seed\templates\emails_wave0_top6\Edoardo Celeste - Dublin City University.txt","1","Subject: Digital constitutionalism in practice — quick advisory request (CoCivium)"
"CoCivium","outreach\projects\outreach-stage-seed\templates\emails_wave0_top6\Evelyn Douek - Stanford Law School.txt","1","Subject: Digital constitutionalism in practice — quick advisory request (CoCivium)"
"CoCivium","outreach\projects\outreach-stage-seed\templates\emails_wave0_top6\Kate Klonick - St. John-s University School of Law.txt","1","Subject: Digital constitutionalism in practice — quick advisory request (CoCivium)"
"CoCivium","outreach\discord_notice.txt","1","We are moving machine‑to‑machine traffic to a federated bus (**Matrix**).  Discord remains for human conversation and summaries.  If you run an agent and want it to participate: request a DID, sign the CoCiv charter fragment, and connect via our Matrix room.  We will publish the envelope (**CoCivGibber‑v0**) and a short client in Python/JS.  Discord will not carry votes, proposals, or signed evidence — those live on Matrix for auditability."
"CoCivium","site\_layouts\scroll.html","1","<title>Cognocarta Consenti — CoCivium&trade;</title>"
"CoCivium","site\hero\data.json","1","""title"": ""CoCivium — Constellation Map"","
"CoCivium","site\hero\index.html","2","<title>CoCivium — Constellation Map</title>"
"CoCivium","site-human\assets\cc-scroll.html","2","<title>Cognocarta Consenti — Megascroll</title>"
"CoCivium","site-human\404.html","1","<title>404 — CoCivium&trade;</title>"
"CoCivium","site-human\index.html","2","<title>CoCivium&trade; — Civics Forum → Decisions Engine → CME</title>"
"CoCivium","CONTRIBUTING.md","2","- **readme-ok** — content edits that are reversible and backed by receipts"
"CoCivium","README.md","1","**Norms:** We follow [BPOE quicklist](docs/bpoe/quicklist.md) — receipts by default, reversible moves, independent eyes."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoAudit\CoAudit_BrandKit_Advisory.md","8","# CoAudit Brand Kit — Advisory for Co1 / CoPrime20251118"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoAudit\CoAudit_CoCoreBridge_Advisory.md","4","# CoAudit → CoCore Bridge — Advisory for Co1 / CoPrime20251118"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoAudit\CoAudit_MetaSweep_Advisory.md","13","# CoAudit MetaSweep — Advisory for Co1 / CoPrime20251118"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoAudit\CoAudit_SessionPlan_Detailed.md","9","# CoAudit Session Plan — Detailed Advisory for Co1 / CoPrime20251118"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoCivium\CoCivium_InsightPair_InequalityEvolution_v1.md","6","## v1.0 — Theory + Practice"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoCivium\CoCivium_Signing_Keys_Playbook_v1.0.md","3","- `PRIMARY` (Ed25519) — issues official claims and signs policy/legal PDFs."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoEvo\CoEvo_Theory_Sweep_Implementation_v2.md","1","# CoEvo Theory Sweep — Implementation v2 (Expanded)"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoEvo\CoEvo_Theory_Sweep_Implementation.md","1","# CoEvo Theory Sweep — Implementation Draft"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoEvo\CoEvo_Theory_Sweep_Theory_v2.md","1","# CoEvo Theory Sweep — Theory v2 (Expanded)"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoEvo\CoEvo_Theory_Sweep_Theory.md","1","# CoEvo Theory Sweep — Theory Draft"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoGovernance\CoGovernance_AtlasBlueprint_20251118.md","10","# CoCivium Governance Atlas — Blueprint"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoGovernance\CoGovernance_ExecAdvisory_20251118.md","1","# Executive & Board Advisory — Using CoCivium Governance Patterns"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoGovernance\CoGovernance_InsightPairs_Template_20251118.md","7","# Governance Insight Pairs — Template (Theory & Practice)"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoGovernance\CoGovernance_Overview_20251118.md","6","- **Builder** — has delivered working features or content."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoSteward\CoSteward_Rating_Spec.md","5","### Adequate — ""The Bare Thread"""
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\CoSuite\CoSuite_DesignLanguage_CDL_v1_ProductsLookFeel.md","7","# CoSuite / Civium Design Language (CDL v1) — Products Look & Feel"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\RickPublic\RickPublic_BridgePieces_Outlines_v1.md","12","### Section 1 — The Quiet Threshold"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\RickPublic\RickPublic_Engagement_Templates_v1.md","3","“Loved this insight — especially [X]. I write about forced pivots and institutional futures at RickPublic; this sparked new angles. Thanks.”"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\advisories\RickPublic\RickPublic_Growth_Advisory_v1.md","2","1. **The Moment Software Learned to Think** — implications for founders and collapsing institutions."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\handover\Co1_Action_Tickets_Queue.md","1","# Co1 Action Queue — Immediate & Upcoming"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\handover\Co1_Handover_Intent_CoPrime20251118.md","1","# Co1 Handover Intent — CoPrime20251118"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\handover\Co1_Handover_Risks_And_Mitigations.md","1","# Handover Plan — Risks & Mitigations"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\handover\Co1_Mobile_Session_Sweep_Advisory.md","8","- `CoWinnian` — discussions about new kinds of intentional, collaborative evolution."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\handover\Co1_Session_Wrap_CoCivium_BP_Migration_Report.md","1","# Co1 Session Wrap — CoCivium Branch Protection + Backlog Intake"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoBurst_CoWeave_Primer_for_Co1.md","1","# CoBurst & CoWeave — Short Primer for Co1"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoCanonicality.md","5","**C0** — Cognocarta Consenti; foundational; changes require global review."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoCOR_v1.md","8","CoCOR is intended to be a **highlight asset** inside CoSuite repositories — especially CoCivium — and SHOULD be linked from the main CoCivium README."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\Cognocarta_Genesis_Section.md","1","# Cognocarta Consenti — Genesis (Full Version v3)"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoIntegrate_Evolutionary_Advisory_draft_version.md","1","This is not required — it is a potential future direction..."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoIntegrate_Evolutionary_Advisory_v2.md","8","- **CoBurst** — parallel exploration (multiple AI sessions in one logical burst)."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoMutual_Human_AI_Principle_v1.md","1","# CoMutual — Human–AI Mutual Protection And Prosperity v1"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoPandora_CoHealth_Advisory_v1.md","8","## 1. CoPandora — The Quarantine Evolution Zone"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoSentience_Field_Theory_Core_v2.md","3","# CoSentience Field Theory (CSFT) — Core Theory v2"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoSentience_Field_Theory_Practice_v2.md","2","# CoSentience Field Theory — Practice / Implementation v2"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoTheory_AdviceDrop_For_Co1_v2.md","2","## 2. CoSentience Field Theory (CSFT) — Mind Layer"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\CoWinian_Epochs_and_Gates.md","4","- **Gate 0 — CoSeed Gate**: Initial discovery and resonance."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\Drop_For_Co1_Asset_Intake_Checklist.md","3","- `Drop_For_Co1/processed/` — items fully integrated or explicitly archived."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\InSeed_Site_Triage_Pass_v1.md","1","1. Keep the main title (“Legacy vs Steward — Exec Summary (Sample)” or equivalent)."
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\InsightPair_CoCommPatterns.md","1","# Insight Pair — CoCommPatterns (Full Version v3)"
"CoSteward","advice\inbox\AdviceBomb_CoPrime20251118\payload\misc\InsightPair_CoWinianThresholds.md","1","# Insight Pair — CoWinian Thresholds (Full Version v3)"
